$ python process_train_nov25_newtrain_conf.py 
train_data_size, train_data_true_count, train_data_false_count:
1645 813 832
val_data_size, val_data_true_count, val_data_false_count:
470 243 227
test_data_size, test_data_true_count, test_data_false_count:
235 109 126
epoch: 2260, train acc: 0.6960486322188449, val acc: 0.6
epoch: 2280, train acc: 0.6844984802431611, val acc: 0.5702127659574469
epoch: 2300, train acc: 0.6820668693009119, val acc: 0.5765957446808511
epoch: 2320, train acc: 0.6717325227963525, val acc: 0.6276595744680851
epoch: 2340, train acc: 0.6802431610942249, val acc: 0.5829787234042553
epoch: 2360, train acc: 0.6790273556231003, val acc: 0.5957446808510638
epoch: 2380, train acc: 0.6656534954407295, val acc: 0.6085106382978723
epoch: 2400, train acc: 0.678419452887538, val acc: 0.5787234042553191
epoch: 2420, train acc: 0.6583586626139818, val acc: 0.6063829787234043
epoch: 2440, train acc: 0.6881458966565349, val acc: 0.6191489361702127
epoch: 2460, train acc: 0.6790273556231003, val acc: 0.5765957446808511
epoch: 2480, train acc: 0.6662613981762918, val acc: 0.6404255319148936
epoch: 2500, train acc: 0.6589665653495441, val acc: 0.5829787234042553
epoch: 2520, train acc: 0.6711246200607903, val acc: 0.6
epoch: 2540, train acc: 0.6589665653495441, val acc: 0.6148936170212767
epoch: 2560, train acc: 0.678419452887538, val acc: 0.5957446808510638
epoch: 2580, train acc: 0.6723404255319149, val acc: 0.6063829787234043
epoch: 2600, train acc: 0.6504559270516718, val acc: 0.6297872340425532
epoch: 2620, train acc: 0.6887537993920972, val acc: 0.6085106382978723
epoch: 2640, train acc: 0.6644376899696048, val acc: 0.6446808510638298
epoch: 2660, train acc: 0.652887537993921, val acc: 0.5872340425531914
epoch: 2680, train acc: 0.6668693009118541, val acc: 0.6106382978723405
epoch: 2700, train acc: 0.6772036474164134, val acc: 0.5680851063829787
epoch: 2720, train acc: 0.6680851063829787, val acc: 0.6
epoch: 2740, train acc: 0.6516717325227963, val acc: 0.6148936170212767
epoch: 2760, train acc: 0.6741641337386018, val acc: 0.574468085106383
epoch: 2780, train acc: 0.6656534954407295, val acc: 0.6063829787234043
epoch: 2800, train acc: 0.6577507598784195, val acc: 0.5553191489361702
epoch: 2820, train acc: 0.6680851063829787, val acc: 0.6021276595744681
epoch: 2840, train acc: 0.6613981762917933, val acc: 0.6106382978723405
epoch: 2860, train acc: 0.6905775075987842, val acc: 0.5765957446808511
epoch: 2880, train acc: 0.6516717325227963, val acc: 0.6127659574468085
epoch: 2900, train acc: 0.6474164133738601, val acc: 0.6085106382978723
epoch: 2920, train acc: 0.6565349544072948, val acc: 0.5914893617021276
epoch: 2940, train acc: 0.660790273556231, val acc: 0.5851063829787234
epoch: 2960, train acc: 0.6389057750759879, val acc: 0.5893617021276596
epoch: 2980, train acc: 0.6668693009118541, val acc: 0.6042553191489362
epoch: 3000, train acc: 0.660790273556231, val acc: 0.5851063829787234
epoch: 3020, train acc: 0.6462006079027356, val acc: 0.6042553191489362
epoch: 3040, train acc: 0.6577507598784195, val acc: 0.6
epoch: 3060, train acc: 0.686322188449848, val acc: 0.5851063829787234
epoch: 3080, train acc: 0.6632218844984803, val acc: 0.5617021276595745
epoch: 3100, train acc: 0.6559270516717325, val acc: 0.5808510638297872
epoch: 3120, train acc: 0.6510638297872341, val acc: 0.5893617021276596
epoch: 3140, train acc: 0.6638297872340425, val acc: 0.6106382978723405
epoch: 3160, train acc: 0.668693009118541, val acc: 0.6297872340425532
epoch: 3180, train acc: 0.6668693009118541, val acc: 0.5787234042553191
epoch: 3200, train acc: 0.6662613981762918, val acc: 0.5851063829787234
epoch: 3220, train acc: 0.6595744680851063, val acc: 0.574468085106383
epoch: 3240, train acc: 0.6650455927051672, val acc: 0.6127659574468085
epoch: 3260, train acc: 0.6443768996960486, val acc: 0.5872340425531914
epoch: 3280, train acc: 0.6656534954407295, val acc: 0.6
epoch: 3300, train acc: 0.660790273556231, val acc: 0.6106382978723405
epoch: 3320, train acc: 0.6559270516717325, val acc: 0.5723404255319149
epoch: 3340, train acc: 0.6316109422492401, val acc: 0.6212765957446809
epoch: 3360, train acc: 0.6462006079027356, val acc: 0.6234042553191489
epoch: 3380, train acc: 0.6674772036474164, val acc: 0.5723404255319149
epoch: 3400, train acc: 0.652887537993921, val acc: 0.6
epoch: 3420, train acc: 0.6583586626139818, val acc: 0.5957446808510638
epoch: 3440, train acc: 0.6376899696048632, val acc: 0.6021276595744681
